French,English
la femme,the woman
le homme,the man
le garçon,the boy
la fille,the girl
le chat,the cat
le chien,the dog
la maison,the house
la voiture,the car
le livre,the book
la table,the table
la chaise,the chair
la porte,the door
la fenêtre,the window
le pain,the bread
l'eau,the water
le lait,the milk
le vin,the wine
la bière,the beer
le café,the coffee
le thé,the tea
le fromage,the cheese
le poulet,the chicken
le poisson,the fish
la viande,the meat
le légume,the vegetable
la pomme,the apple
la banane,the banana
la fraise,the strawberry
l'orange,the orange
le citron,the lemon
le soleil,the sun
la lune,the moon
l'étoile,the star
la pluie,the rain
la neige,the snow
le vent,the wind
le feu,the fire
l'arbre,the tree
la fleur,the flower
l'herbe,the grass
la mer,the sea
la rivière,the river
la montagne,the mountain
le ciel,the sky
la terre,the earth
le chemin,the path
la route,the road
le pont,the bridge
la ville,the city
le village,the village
le pays,the country
le monde,the world
la famille,the family
le père,the father
la mère,the mother
le frère,the brother
la sœur,the sister
le fils,the son
la fille,the daughter
le mari,the husband
la femme,the wife
l'ami,the friend
le voisin,the neighbor
le professeur,the teacher
l'élève,the student
le médecin,the doctor
l'infirmière,the nurse
le policier,the police officer
le pompier,the firefighter
le cuisinier,the cook
le serveur,the waiter
le vendeur,the seller
l'acteur,the actor
le musicien,the musician
le peintre,the painter
l'écrivain,the writer
le temps,the time
le jour,the day
la nuit,the night
le matin,the morning
le soir,the evening
la semaine,the week
le mois,the month
l'année,the year
lundi,Monday
mardi,Tuesday
mercredi,Wednesday
jeudi,Thursday
vendredi,Friday
samedi,Saturday
dimanche,Sunday
janvier,January
février,February
mars,March
avril,April
mai,May
juin,June
juillet,July
août,August
septembre,September
octobre,October
novembre,November
décembre,December
un,one
deux,two
trois,three
quatre,four
cinq,five
six,six
sept,seven
huit,eight
neuf,nine
dix,ten
cent,one hundred
mille,one thousand
grand,big
petit,small
bon,good
mauvais,bad
beau,beautiful
laid,ugly
chaud,hot
froid,cold
rapide,fast
lent,slow
fort,strong
faible,weak
riche,rich
pauvre,poor
heureux,happy
triste,sad
fatigué,tired
malade,sick
libre,free
occupé,busy
facile,easy
difficile,difficult
nouveau,new
vieux,old
premier,first
dernier,last
même,same
autre,other
chaque,each
tout,all
rien,nothing
quelque chose,something
quelqu'un,someone
personne,nobody
manger,to eat
boire,to drink
dormir,to sleep
parler,to speak
écouter,to listen
regarder,to watch
lire,to read
écrire,to write
travailler,to work
jouer,to play
courir,to run
marcher,to walk
venir,to come
partir,to leave
ouvrir,to open
fermer,to close
acheter,to buy
vendre,to sell
donner,to give
prendre,to take
aimer,to love
détester,to hate
savoir,to know
comprendre,to understand
penser,to think
croire,to believe
vouloir,to want
pouvoir,to be able to
devoir,must
avoir,to have
être,to be
faire,to do
aller,to go
voir,to see
entendre,to hear
sentir,to feel
toucher,to touch
bonjour,hello
au revoir,goodbye
s'il vous plaît,please
merci,thank you
oui,yes
non,no
peut-être,maybe
pardon,sorry
excusez-moi,excuse me
de rien,you're welcome
comment,how
pourquoi,why
quand,when
où,where
qui,who
quoi,what
combien,how many
ici,here
là,there
maintenant,now
bientôt,soon
toujours,always
jamais,never
souvent,often
parfois,sometimes
ensemble,together
seul,alone
vite,quickly
lentement,slowly
bien,well
mal,badly
très,very
trop,too much
assez,enough
plus,more
moins,less
aussi,also
